,Dorm,Network,PID,In_degree,Out_degree,Degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reaching_centrality
27,Alondra,Liked,vcM4I7ahKq,0,6,0.125,0,0.125,1.36E-10,0,0,0,0,0.3125
28,Alondra,Liked,x4uS8bnzwc,0,6,0.125,0,0.125,1.36E-10,0,0,0,0,0.270833333
29,Alondra,Liked,XzE2YEAeBB,0,6,0.125,0,0.125,1.36E-10,0,0,0,0,0.3125
30,Alondra,Liked,zCezlMpAcO,2,6,0.166666667,0.041666667,0.125,5.02E-09,0.041666667,0.004432624,0.004432624,2,0.3125
31,Alondra,Liked,ZkLlaLrQkh,0,4,0.083333333,0,0.083333333,1.36E-10,0,0,0,0,0.291666667
32,Alondra,Liked,09ezHFt2Bb,1,0,0.020833333,0.020833333,0,2.58E-09,0.020833333,0,0,1,0
33,Alondra,Liked,2UK6dKygn0,9,0,0.1875,0.1875,0,0.489735636,0.377751572,0,0,20,0
34,Alondra,Liked,2t2sqsHVqv,6,0,0.125,0.125,0,0.170083894,0.27806713,0,0,15.91666667,0
35,Alondra,Liked,3gEiO3Vvhw,3,0,0.0625,0.0625,0,7.55E-07,0.104166667,0,0,6,0
36,Alondra,Liked,5vMCkzEp51,2,0,0.041666667,0.041666667,0,5.02E-09,0.041666667,0,0,2,0
37,Alondra,Liked,7dUYGwkxk4,3,0,0.0625,0.0625,0,9.05E-08,0.066666667,0,0,3.5,0
38,Alondra,Liked,95dslV1gqt,3,0,0.0625,0.0625,0,0.378719692,0.30334596,0,0,15.91666667,0
39,Alondra,Liked,ADOSSQSk8L,1,0,0.020833333,0.020833333,0,6.12E-07,0.121408046,0,0,6.333333333,0
40,Alondra,Liked,KG9AbMggIn,4,0,0.083333333,0.083333333,0,0.111015393,0.298818408,0,0,16,0
41,Alondra,Liked,Nv6B58pDzQ,4,0,0.083333333,0.083333333,0,9.30E-08,0.09375,0,0,5,0
42,Alondra,Liked,OgZz67fyqj,9,0,0.1875,0.1875,0,0.31964793,0.339336158,0,0,19.08333333,0
43,Alondra,Liked,PKpZd7lFZi,5,0,0.104166667,0.104166667,0,0.149572139,0.288288288,0,0,16.33333333,0
44,Alondra,Liked,QaBLfwCjtz,6,0,0.125,0.125,0,0.170084503,0.30334596,0,0,16.83333333,0
45,Alondra,Liked,cUTstkQBzc,1,0,0.020833333,0.020833333,0,4.41E-08,0.0375,0,0,2,0
46,Alondra,Liked,d3eaPDsH4T,5,0,0.104166667,0.104166667,0,9.47E-07,0.214880952,0,0,11.66666667,0
47,Alondra,Liked,v62We6ItmL,1,0,0.020833333,0.020833333,0,2.58E-09,0.020833333,0,0,1,0
48,Alondra,Liked,xQMrntmJiO,1,0,0.020833333,0.020833333,0,4.41E-08,0.0375,0,0,2,0
0,Alondra,NegAffPres,3hqUkuC5Qn,2,1,0.09375,0.0625,0.03125,0.000972277,0.0625,0.001512097,0.001512097,2,0.03125
1,Alondra,NegAffPres,8FFaAiwKcb,1,1,0.0625,0.03125,0.03125,0.000486629,0.03125,0.001008065,0.001008065,1,0.03125
2,Alondra,NegAffPres,AokPyCa4Vf,0,2,0.0625,0,0.0625,9.81E-07,0,0,0,0,0.0625
3,Alondra,NegAffPres,B4GwtIPWEA,0,4,0.125,0,0.125,9.81E-07,0,0,0,0,0.15625
4,Alondra,NegAffPres,DFZonvMbYz,0,2,0.0625,0,0.0625,9.81E-07,0,0,0,0,0.0625
5,Alondra,NegAffPres,EyIKgswV5h,0,2,0.0625,0,0.0625,9.81E-07,0,0,0,0,0.0625
6,Alondra,NegAffPres,EZZAfoTzU5,0,3,0.09375,0,0.09375,9.81E-07,0,0,0,0,0.1875
7,Alondra,NegAffPres,f8wFyStuKA,2,3,0.15625,0.0625,0.09375,0.000972277,0.0625,0.006048387,0.006048387,2,0.09375
8,Alondra,NegAffPres,FmEtaLdyUP,0,4,0.125,0,0.125,9.81E-07,0,0,0,0,0.3125
9,Alondra,NegAffPres,MVj5KiRVic,0,1,0.03125,0,0.03125,9.81E-07,0,0,0,0,0.0625
10,Alondra,NegAffPres,Nv6B58pDzQ,2,1,0.09375,0.0625,0.03125,0.000972277,0.0625,0.002016129,0.002016129,2,0.03125
11,Alondra,NegAffPres,Otj5ACG4Eq,0,2,0.0625,0,0.0625,9.81E-07,0,0,0,0,0.15625
12,Alondra,NegAffPres,RTkwouHacL,0,2,0.0625,0,0.0625,9.81E-07,0,0,0,0,0.0625
13,Alondra,NegAffPres,SlopF1tw7Q,0,1,0.03125,0,0.03125,9.81E-07,0,0,0,0,0.03125
14,Alondra,NegAffPres,vcM4I7ahKq,2,6,0.25,0.0625,0.1875,0.000972277,0.0625,0.009576613,0.009576613,2,0.1875
15,Alondra,NegAffPres,XzE2YEAeBB,0,3,0.09375,0,0.09375,9.81E-07,0,0,0,0,0.125
16,Alondra,NegAffPres,zCezlMpAcO,0,4,0.125,0,0.125,9.81E-07,0,0,0,0,0.28125
17,Alondra,NegAffPres,ZkLlaLrQkh,0,1,0.03125,0,0.03125,9.81E-07,0,0,0,0,0.03125
18,Alondra,NegAffPres,09ezHFt2Bb,8,0,0.25,0.25,0,0.243796173,0.253125,0,0,8.5,0
19,Alondra,NegAffPres,2UK6dKygn0,2,0,0.0625,0.0625,0,0.000972277,0.0625,0,0,2,0
20,Alondra,NegAffPres,3gEiO3Vvhw,3,0,0.09375,0.09375,0,0.241367934,0.111607143,0,0,4,0
21,Alondra,NegAffPres,5vMCkzEp51,2,0,0.0625,0.0625,0,0.480792295,0.1125,0,0,4,0
22,Alondra,NegAffPres,DVHOpKeyEt,1,0,0.03125,0.03125,0,0.000486629,0.03125,0,0,1,0
23,Alondra,NegAffPres,G2qsfXrosA,1,0,0.03125,0.03125,0,0.000486629,0.03125,0,0,1,0
24,Alondra,NegAffPres,H5J3FP5lNK,1,0,0.03125,0.03125,0,0.240396638,0.05625,0,0,2,0
25,Alondra,NegAffPres,J3aYRG5EAA,3,0,0.09375,0.09375,0,0.121412929,0.1,0,0,3.5,0
26,Alondra,NegAffPres,NN7WP7qeQP,2,0,0.0625,0.0625,0,0.000972277,0.0625,0,0,2,0
