,Dorm,Network_Type,Avg_Path,Density
104,Twain,PosAffPres,2.21192053,0.025721154
105,Twain,PosEmoSupp,2.009049774,0.024321557
106,Twain,Responsive,2.75443787,0.024197196
107,Twain,SocAdvice,1.845454545,0.02238806
108,Twain,SpendTime,2.328571429,0.026408451
109,Ujamaa,CloseFrds,2.883767535,0.021872864
110,Ujamaa,EmpSupp,2.317948718,0.023962595
111,Ujamaa,Gossip,2.690176322,0.028822055
112,Ujamaa,Liked,1.918367347,0.029697901
113,Ujamaa,NegAffPres,2.887931034,0.033536585
114,Ujamaa,NegEmoSupp,1.64957265,0.021103896
115,Ujamaa,Persuasive,1.754901961,0.025757576
116,Ujamaa,PosAffPres,2.76091954,0.025465839
117,Ujamaa,PosEmoSupp,2.907894737,0.023809524
118,Ujamaa,Responsive,2.280453258,0.026201923
119,Ujamaa,SocAdvice,1.970731707,0.022073413
120,Ujamaa,SpendTime,3.040860215,0.021689498
121,WestFloMo,CloseFrds,5.394886364,0.020807618
122,WestFloMo,EmpSupp,1.910404624,0.019835841
123,WestFloMo,Gossip,2.124567474,0.017438272
124,WestFloMo,Liked,1.82183908,0.028421053
125,WestFloMo,NegAffPres,1.246153846,0.016558442
126,WestFloMo,NegEmoSupp,1.784615385,0.015408505
127,WestFloMo,Persuasive,1.606557377,0.019315895
128,WestFloMo,PosAffPres,2.707070707,0.019708847
129,WestFloMo,PosEmoSupp,3.392857143,0.016336819
130,WestFloMo,Responsive,3.211246201,0.020544673
131,WestFloMo,SocAdvice,2,0.017326733
132,WestFloMo,SpendTime,5.044565217,0.017912773
