StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,Q41_1,Q41_2,Q41_3,Q43_4,Q43_5,Q43_6,DID,NID
2018-11-25 16:17:55,2018-11-25 16:27:21,0,100,566,1,2018-11-25 16:27:22,ud1NKswcVs,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,Eo5Xm7GiJC,CosbTLZsb1,dzR8fn9esS,gJRJG9zrRg,,,Eo5Xm7GiJC,,,,,,dzR8fn9esS,,,,,,dzR8fn9esS,,,,,,Eo5Xm7GiJC,gJRJG9zrRg,dzR8fn9esS,,,,dzR8fn9esS,,,,,,dzR8fn9esS,,,,,,dzR8fn9esS,Eo5Xm7GiJC,,,,,rOwXfAVWXN,,,,,,gJRJG9zrRg,dzR8fn9esS,,,,,dzR8fn9esS,,,,,,dzR8fn9esS,iNHqkHG3QM,,,,,21,23,21,24,18,19,21,24,20,23,19,19,21,21,21,21,4,3,4,2,3,2,1,2,3,3,3,2,2,2,34,Black Student Union,Black Family Gathering Committee,Society of Black Scientists and Engineers,,,,10,10
2018-11-25 19:48:21,2018-11-25 20:06:40,0,100,1098,1,2018-11-25 20:06:40,FtXDYm83Eu,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,62d3AEQx36,D81ScNUgBY,0W7HOJIfdM,,,,62d3AEQx36,sxWT3JaJc1,D81ScNUgBY,uMsszd9Khr,,,0W7HOJIfdM,62d3AEQx36,Ibvf92ns1K,D81ScNUgBY,,,62d3AEQx36,D81ScNUgBY,SjB0co3Ckl,,,,uMsszd9Khr,62d3AEQx36,D81ScNUgBY,sxWT3JaJc1,,,62d3AEQx36,SjB0co3Ckl,QBfwTc80K3,0W7HOJIfdM,dzR8fn9esS,cPG73WKbhb,SjB0co3Ckl,Ibvf92ns1K,,,,,D81ScNUgBY,8LorqQO6oX,62d3AEQx36,SjB0co3Ckl,cPG73WKbhb,QBfwTc80K3,Vba819glE1,NJ0Qb1axWc,uMsszd9Khr,ZHlcHR8HA9,,,uMsszd9Khr,62d3AEQx36,0W7HOJIfdM,UzvGeALmOJ,sxWT3JaJc1,,NONE,,,,,,cPG73WKbhb,Ibvf92ns1K,wXBudQ5UFY,QBfwTc80K3,KG9jqp4jOc,,23,24,20,23,19,24,22,24,19,24,20,24,19,21,19,22,5,1,3,2,4,5,2,2,5,5,2,3,1,4,36,Black Student Union,,,,,,10,10
2018-11-25 21:02:53,2018-11-25 21:08:57,0,100,364,1,2018-11-25 21:08:57,VqWAXkBkjy,,37.4235992431640625,-122.161895751953125,anonymous,EN,23,3hLoPuYCWt,vK13BmlVeN,nYJ3PCbX59,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,NONE,,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,3hLoPuYCWt,,,,,,3hLoPuYCWt,nYJ3PCbX59,,,,,22,22,22,24,21,21,20,23,20,24,19,21,21,21,22,22,5,1,3,5,2,4,2,5,2,1,4,1,1,5,35,none,,,,,,10,10
2018-11-25 21:02:00,2018-11-25 21:48:40,0,100,2799,1,2018-11-25 21:48:40,COdDPCwbng,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,KCYKDjmNHs,1u8FBodbbw,gJRJG9zrRg,,,,KCYKDjmNHs,IGP5eTT9QK,1u8FBodbbw,S5AMQ4uOrU,,,KCYKDjmNHs,dzR8fn9esS,rOwXfAVWXN,S5AMQ4uOrU,1u8FBodbbw,,dzR8fn9esS,KCYKDjmNHs,S5AMQ4uOrU,1u8FBodbbw,,,NONE,,,,,,dzR8fn9esS,,,,,,NONE,,,,,,S5AMQ4uOrU,dzR8fn9esS,KCYKDjmNHs,,,,NONE,,,,,,S5AMQ4uOrU,IGP5eTT9QK,KCYKDjmNHs,,,,NONE,,,,,,dzR8fn9esS,iNHqkHG3QM,4B6tmHOq0P,,,,19,24,18,24,18,21,19,24,18,24,18,21,21,21,22,22,5,3,4,3,5,3,5,4,5,5,4,4,3,3,35,Other,Kardinal Kink,Black and Queer at Stanford,SLAP,,,10,10
2018-11-25 22:10:07,2018-11-25 22:18:47,0,100,519,1,2018-11-25 22:18:47,HjhRu6JPJY,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,,,,,,3wbyOnpaRb,98yab1sA8a,GNSP8uWRcq,KCYKDjmNHs,IVjnvrNWHw,xsKMHIWfqw,6tXIcRLFzO,UzvGeALmOJ,iLXYpQoECZ,,,,3wbyOnpaRb,,,,,,NONE,,,,,,1u8FBodbbw,paQwlEwHeB,4B6tmHOq0P,iLXYpQoECZ,,,22,22,21,23,20,20,21,22,20,24,19,19,21,21,22,20,5,1,5,4,2,4,1,4,2,2,4,1,1,4,36,Akasma Bellydance,Kaorihiva,Multiracial Identified Community at Stanford,,,,10,10
2018-11-25 16:32:58,2018-11-25 22:46:08,0,100,22389,1,2018-11-25 22:46:09,LnE0mTM5N3,,37.4235992431640625,-122.161895751953125,anonymous,EN,20,EuBr7E8JG6,zPObaZNmKH,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,zPObaZNmKH,EuBr7E8JG6,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,zPObaZNmKH,EuBr7E8JG6,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,NONE,,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,EuBr7E8JG6,zPObaZNmKH,,,,,EuBr7E8JG6,Vba819glE1,01DGcnKSFh,,,,20,24,19,23,20,23,19,24,18,24,18,24,21,21,21,21,1,5,5,1,5,2,5,3,4,5,2,5,4,2,35,Akwaaba Ghanaian Students Association,Stanford African Students Association,Alpha Chi Sigma,,,,10,10
2018-11-25 23:30:08,2018-11-25 23:38:05,0,100,476,1,2018-11-25 23:38:05,4B6tmHOq0P,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,iNHqkHG3QM,hsklOX5oZ2,Lxjtyulghw,,,,iNHqkHG3QM,hsklOX5oZ2,Lxjtyulghw,vFAHDFE0Ka,GNSP8uWRcq,UzvGeALmOJ,iNHqkHG3QM,,,,,,iNHqkHG3QM,,,,,,iNHqkHG3QM,hsklOX5oZ2,Lxjtyulghw,,,,iNHqkHG3QM,hsklOX5oZ2,cPG73WKbhb,,,,iNHqkHG3QM,,,,,,iNHqkHG3QM,hsklOX5oZ2,vFAHDFE0Ka,GNSP8uWRcq,cPG73WKbhb,,rOwXfAVWXN,6tXIcRLFzO,,,,,iNHqkHG3QM,hsklOX5oZ2,Lxjtyulghw,vFAHDFE0Ka,GNSP8uWRcq,UzvGeALmOJ,NONE,,,,,,iNHqkHG3QM,hsklOX5oZ2,KG9jqp4jOc,cPG73WKbhb,wXBudQ5UFY,,23,24,21,24,21,24,19,23,18,24,20,23,22,22,22,22,4,2,5,3,4,3,2,3,5,5,3,3,1,4,36,Stanford Womens Club Volleyball,,,,,,10,10
2018-11-26 00:32:25,2018-11-26 00:55:51,0,100,1405,1,2018-11-26 00:55:52,JD3jM2AMvA,,37.4235992431640625,-122.161895751953125,anonymous,EN,20,ZD29tm2k2K,xsKMHIWfqw,,,,,ZD29tm2k2K,xsKMHIWfqw,,,,,ZD29tm2k2K,xsKMHIWfqw,,,,,ZD29tm2k2K,xsKMHIWfqw,,,,,ZD29tm2k2K,xsKMHIWfqw,,,,,ZD29tm2k2K,xsKMHIWfqw,cPG73WKbhb,KG9jqp4jOc,hsklOX5oZ2,2wURrgaH01,cPG73WKbhb,KG9jqp4jOc,hsklOX5oZ2,,,,ZD29tm2k2K,xsKMHIWfqw,,,,,NONE,,,,,,NONE,,,,,,ZD29tm2k2K,,,,,,6tXIcRLFzO,,,,,,24,24,21,24,21,21,24,24,21,21,24,21,21,20,20,21,5,1,1,5,1,5,3,4,1,1,4,1,1,5,36,Mens Club Basketball,,,,,,10,10
2018-11-26 01:40:47,2018-11-26 01:49:56,0,100,548,1,2018-11-26 01:49:56,ZHlcHR8HA9,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,QBfwTc80K3,Ibvf92ns1K,cueu3X2Xmg,0W7HOJIfdM,8LorqQO6oX,sxWT3JaJc1,sxWT3JaJc1,QBfwTc80K3,0W7HOJIfdM,Ibvf92ns1K,D81ScNUgBY,Vba819glE1,0W7HOJIfdM,QBfwTc80K3,GNSP8uWRcq,U8jvvRi8SB,8LorqQO6oX,uMsszd9Khr,sxWT3JaJc1,,,,,,Ibvf92ns1K,sxWT3JaJc1,,,,,Ibvf92ns1K,FtXDYm83Eu,,,,,Ibvf92ns1K,,,,,,Ibvf92ns1K,QBfwTc80K3,,,,,0W7HOJIfdM,,,,,,sxWT3JaJc1,QBfwTc80K3,,,,,cueu3X2Xmg,rOwXfAVWXN,Ibvf92ns1K,GNSP8uWRcq,uMsszd9Khr,sxWT3JaJc1,Ibvf92ns1K,UzvGeALmOJ,wXBudQ5UFY,s5ftgTtnvq,NJ0Qb1axWc,8LorqQO6oX,23,23,23,23,21,19,19,24,20,24,20,24,21,20,22,20,3,4,2,1,2,3,3,2,2,2,3,2,2,4,34,Black Student Union,Multiracial Identified Community at Stanford,Cardinal Free Clinics,,,,10,10
2018-11-26 17:44:09,2018-11-26 17:53:19,0,100,549,1,2018-11-26 17:53:19,W9Std7wQyx,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,fxvdHjQC2i,sxWT3JaJc1,yLardzFGP3,,,,fxvdHjQC2i,sxWT3JaJc1,yLardzFGP3,RQUG36pWW2,,,fxvdHjQC2i,sxWT3JaJc1,yLardzFGP3,GNSP8uWRcq,RQUG36pWW2,,fxvdHjQC2i,yLardzFGP3,,,,,yLardzFGP3,fxvdHjQC2i,,,,,dzR8fn9esS,GNSP8uWRcq,fxvdHjQC2i,yLardzFGP3,,,dzR8fn9esS,yUQtDGaPzo,yLardzFGP3,,,,yUQtDGaPzo,yLardzFGP3,fxvdHjQC2i,GNSP8uWRcq,,,7QVjOt1Zad,,,,,,fxvdHjQC2i,sxWT3JaJc1,,,,,fxvdHjQC2i,,,,,,fxvdHjQC2i,GNSP8uWRcq,,,,,23,24,21,24,18,24,23,23,21,24,19,23,22,22,22,22,3,4,4,3,4,2,5,2,5,5,2,5,5,3,35,Society of Black Scientists and Engineers,Black Student Union,Muslim Student Union,,,,10,10
