"","PID","total_weighted_empathy_network","avg_weighted_empathy_network","avg_empathy_network","Dorm","subject_wellbeing","Nomination","shortest_path_length","nomination_empathy","nomination_empathic_concern","weighted_empathy","avg_empathy_network_z","total_weighted_empathy_network_z","avg_weighted_empathy_network_z","subject_wellbeing_z"
"1","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"08JYVDNSVE",5,3.79166666666667,3.5,0.758333333333334,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"2","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"78FcvndvBA",6,4.20833333333333,3.75,0.701388888888888,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"3","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"8LmM2zih03",2,3.5,2.5,1.75,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"4","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"8XR2XWSfga",8,3.47916666666667,3.25,0.434895833333334,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"5","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"BWWbrUdLg3",4,3.45833333333333,3.25,0.864583333333332,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"6","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"BWWbrUdLg3",4,NA,NA,NA,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"7","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"fGs9EHg5R3",4,4.04166666666667,3.25,1.01041666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"8","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"fGs9EHg5R3",4,NA,NA,NA,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"9","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"g7G9WmY2Sc",4,2.72916666666667,3.75,0.682291666666668,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"10","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"HR47S7QiLB",6,2.6875,2.75,0.447916666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"11","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"i4vJjmRZQY",6,2.875,2,0.479166666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"12","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"Iu0sA8ZEAa",4,3.35416666666667,3.25,0.838541666666668,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"13","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"KwUaX2gNsS",4,NA,NA,NA,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"14","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"LFZjeuLVta",6,3.35416666666667,3.75,0.559027777777778,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"15","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"LYnOGjg03C",3,2.75,3.25,0.916666666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"16","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"PAfhnhVBGM",9,2.77083333333333,2.75,0.30787037037037,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"17","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"XoYNGBwzqv",1,2.77083333333333,3.25,2.77083333333333,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"18","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"zXBSJOzGIH",2,2.875,2.5,1.4375,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"19","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"1kojlOU0VJ",5,2.14583333333333,3,0.429166666666666,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"20","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"7IBqGSvpfX",1,2.22916666666667,2.25,2.22916666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"21","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"CZsQj3YcN8",8,NA,NA,NA,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"22","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"DBg7PwKloR",3,3.1875,2.25,1.0625,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"23","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"E1TUGRNVaC",1,4.10416666666667,4,4.10416666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"24","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"aFnFr8c1vl",2,2.8125,3.5,1.40625,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"25","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"bwJ7DYOVDT",6,3.08333333333333,3,0.513888888888888,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"26","048vmQSGsT",24.2462384259259,1.102101746633,3.15719696969697,"Cedro",1.64285714285714,"sNSJE2oHmc",6,3.25,3.25,0.541666666666667,0.59484407719066,-0.437359176083094,-0.0919033400686564,-1.43485068168613
"27","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"78FcvndvBA",4,4.20833333333333,3.75,1.05208333333333,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"28","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"8LmM2zih03",2,3.5,2.5,1.75,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"29","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"8XR2XWSfga",3,3.47916666666667,3.25,1.15972222222222,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"30","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"BWWbrUdLg3",2,3.45833333333333,3.25,1.72916666666666,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"31","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"BWWbrUdLg3",2,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"32","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"fGs9EHg5R3",3,4.04166666666667,3.25,1.34722222222222,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"33","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"fGs9EHg5R3",3,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"34","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"g7G9WmY2Sc",3,2.72916666666667,3.75,0.909722222222223,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"35","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"HR47S7QiLB",1,2.6875,2.75,2.6875,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"36","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"i4vJjmRZQY",4,2.875,2,0.71875,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"37","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"Iu0sA8ZEAa",3,3.35416666666667,3.25,1.11805555555556,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"38","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"KwUaX2gNsS",2,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"39","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"LFZjeuLVta",4,3.35416666666667,3.75,0.838541666666668,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"40","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"LYnOGjg03C",2,2.75,3.25,1.375,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"41","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"PAfhnhVBGM",4,2.77083333333333,2.75,0.692708333333332,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"42","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"XoYNGBwzqv",4,2.77083333333333,3.25,0.692708333333332,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"43","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"zXBSJOzGIH",1,2.875,2.5,2.875,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"44","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"1kojlOU0VJ",3,2.14583333333333,3,0.715277777777777,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"45","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"7IBqGSvpfX",4,2.22916666666667,2.25,0.557291666666668,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"46","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"CZsQj3YcN8",6,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"47","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"DBg7PwKloR",2,3.1875,2.25,1.59375,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"48","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"E1TUGRNVaC",3,4.10416666666667,4,1.36805555555556,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"49","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"aFnFr8c1vl",1,2.8125,3.5,2.8125,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"50","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"bwJ7DYOVDT",3,3.08333333333333,3,1.02777777777778,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"51","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",1.21428571428571,"sNSJE2oHmc",4,3.25,3.25,0.8125,0.358221151422501,0.814370509205093,0.469438978090238,-2.00211606135859
"52","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"78FcvndvBA",4,4.20833333333333,3.75,1.05208333333333,0.358221151422501,0.814370509205093,0.469438978090238,NA
"53","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"8LmM2zih03",2,3.5,2.5,1.75,0.358221151422501,0.814370509205093,0.469438978090238,NA
"54","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"8XR2XWSfga",3,3.47916666666667,3.25,1.15972222222222,0.358221151422501,0.814370509205093,0.469438978090238,NA
"55","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"BWWbrUdLg3",2,3.45833333333333,3.25,1.72916666666666,0.358221151422501,0.814370509205093,0.469438978090238,NA
"56","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"BWWbrUdLg3",2,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,NA
"57","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"fGs9EHg5R3",3,4.04166666666667,3.25,1.34722222222222,0.358221151422501,0.814370509205093,0.469438978090238,NA
"58","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"fGs9EHg5R3",3,NA,NA,NA,0.358221151422501,0.814370509205093,0.469438978090238,NA
"59","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"g7G9WmY2Sc",3,2.72916666666667,3.75,0.909722222222223,0.358221151422501,0.814370509205093,0.469438978090238,NA
"60","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"HR47S7QiLB",1,2.6875,2.75,2.6875,0.358221151422501,0.814370509205093,0.469438978090238,NA
"61","08JYVDNSVE",55.6666666666667,1.32539682539683,3.12698412698413,"Cedro",NA,"i4vJjmRZQY",4,2.875,2,0.71875,0.358221151422501,0.814370509205093,0.469438978090238,NA
