PID,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6
8LmM2zih03,zXBSJOzGIH,MxMt6EH1xd,Tpq9cLPW2F,qDDNLI4Rka,DBg7PwKloR,QhnutPzhEX
fGs9EHg5R3,NONE,,,,,
sowKyhlnj6,hT1aAbxR0H,LFX7mYOwvb,KwUaX2gNsS,pxKzlPMz5c,8LmM2zih03,NYFyiZZdfY
NYFyiZZdfY,Tpq9cLPW2F,hT1aAbxR0H,QhnutPzhEX,fGs9EHg5R3,,
lUzoyyl3C4,7IBqGSvpfX,XoYNGBwzqv,048vmQSGsT,,,
9jYfO7YSVJ,Fjnc68aifX,JTgteZsRjX,GFMWmM9WgY,nwNWPEqkTW,IABO1KNL8O,3s1Fx54iRZ
GN9q8MJknT,WlKATMjLQe,Iu0sA8ZEAa,Dkvg4eCzpY,i4vJjmRZQY,G6To0ImEbh,BWWbrUdLg3
8XR2XWSfga,LFX7mYOwvb,IABO1KNL8O,PAfhnhVBGM,c6JS1nouBN,ZiHncP5wKW,oVfUS3BYNH
1u2tzPdBLc,kVSWiDXeCu,BWWbrUdLg3,,2dlpRh3CV4,g7G9WmY2Sc,g8A5TAJoRd
nwNWPEqkTW,9jYfO7YSVJ,GFMWmM9WgY,eJe331ryXk,vCNkJU8MA8,3s1Fx54iRZ,Fjnc68aifX
zXBSJOzGIH,1vAuewglpQ,8LmM2zih03,aFnFr8c1vl,DBg7PwKloR,LYnOGjg03C,8orjsVIGPu
TCKr2E8qUx,,,,,,
Iu0sA8ZEAa,,,,,,
oGCDFhIyTb,,,,,,
G6To0ImEbh,,,,,,
WlKATMjLQe,,,,,,
pxKzlPMz5c,,,,,,
08JYVDNSVE,,,,,,
Tpq9cLPW2F,,,,,,
9jYfO7YSVJ,,,,,,
lUzoyyl3C4,,,,,,
qDDNLI4Rka,,,,,,
FeWgJfsZPH,,,,,,
g7G9WmY2Sc,,,,,,
eJe331ryXk,,,,,,
l4T5FFzYK7,,,,,,
